asset_name,asset_type,commodity,country,region,iso3,lat,lon,ownership_pct,status,commissioned_or_acquired,source_url
Mutanda Mining,Mine + Hydrometallurgical plant,Copper; Cobalt,Democratic Republic of the Congo,Lualaba,COD,-10.80,25.77,100,Active (restarted 2021),Restart 2021,https://www.glencore.com/what-we-do/metals-and-minerals/copper
Kamoto Copper Company (KCC),Mine + Concentrator + SX-EW Refinery,Copper; Cobalt,Democratic Republic of the Congo,Lualaba (Kolwezi),COD,-10.71,25.45,75,Active,Acquired 2009,https://www.glencore.com/what-we-do/metals-and-minerals/copper
Antapaccay,Open-pit mine + Concentrator,Copper,Peru,Cusco (Espinar),PER,-14.92,-71.63,100,Active,Acquired via Xstrata 2013,https://www.glencore.com/what-we-do/metals-and-minerals/copper
Lomas Bayas,Open-pit mine + SX-EW,Copper,Chile,Antofagasta,CHL,-24.04,-69.54,100,Active,Acquired 2012,https://www.glencore.com/what-we-do/metals-and-minerals/copper
Altonorte Smelter,Copper smelter,Copper,Chile,Antofagasta,CHL,-23.69,-70.51,100,Active,Acquired via Xstrata 2013,https://www.glencore.com/what-we-do/metals-and-minerals/copper
Collahuasi (Doña Inés de Collahuasi),Open-pit mine + Concentrator,Copper,Chile,Tarapacá,CHL,-20.97,-68.71,44,Active (44% JV with Anglo American & Mitsui),JV stake,https://www.glencore.com/what-we-do/metals-and-minerals/copper
Antamina,Open-pit mine + Concentrator,Copper; Zinc,Peru,Áncash,PER,-9.55,-77.05,33.75,Active (33.75% JV with BHP/Teck/Mitsubishi),JV stake,https://www.glencore.com/what-we-do/metals-and-minerals/copper
Mount Isa Mines (Copper operations),Underground mine + Concentrator + Smelter,Copper,Australia,Queensland,AUS,-20.73,139.49,100,Copper smelting & concentrating to wind down 2025,Acquired via Xstrata 2013,https://www.glencore.com.au/operations-and-projects/mim
Horne Smelter,Copper smelter (custom),Copper,Canada,Quebec (Rouyn-Noranda),CAN,48.24,-79.02,100,Active,Acquired via Xstrata 2013,https://www.glencore.ca/en/operations-and-projects/horne-smelter
CCR (Canadian Copper Refinery),Electrolytic refinery,Copper,Canada,Quebec (Montreal-Est),CAN,45.66,-73.50,100,Active,Acquired via Xstrata 2013,https://www.glencore.ca/en/operations-and-projects/ccr-refinery
Kidd Operations (Mine + Met),Underground mine + Concentrator,Copper; Zinc,Canada,Ontario (Timmins),CAN,48.64,-81.59,100,Active,Acquired via Xstrata 2013,https://www.glencore.ca/en/operations-and-projects/kidd-operations
Koniambo Nickel SAS (KNS),Smelter (ferro-nickel),Nickel,New Caledonia,North Province,NCL,-21.02,164.81,49,Care & Maintenance (operations suspended 2024),C&M Feb 2024,https://www.glencore.com/what-we-do/metals-and-minerals/nickel
Sudbury Integrated Nickel Operations (INO),Mine + Mill + Smelter,Nickel; Copper; Cobalt; PGMs,Canada,Ontario (Sudbury),CAN,46.50,-81.00,100,Active,Acquired via Falconbridge / Xstrata 2006,https://www.glencore.ca/en/operations-and-projects/ino-sudbury
Raglan Mine,Underground mine + Concentrator,Nickel; Copper; PGMs,Canada,Quebec (Nunavik),CAN,61.69,-73.56,100,Active,Acquired via Falconbridge / Xstrata,https://www.glencore.ca/en/operations-and-projects/raglan-mine
Murrin Murrin,Open-pit mine + Pressure-acid-leach refinery,Nickel; Cobalt,Australia,Western Australia (Goldfields),AUS,-28.70,121.89,100,Active,Acquired 2002,https://www.glencore.com.au/operations-and-projects/murrin-murrin
Nikkelverk Refinery,Electrolytic refinery,Nickel; Copper; Cobalt; PGMs,Norway,Agder (Kristiansand),NOR,58.15,7.99,100,Active,Acquired via Falconbridge / Xstrata,https://www.glencore.com/what-we-do/metals-and-minerals/nickel
McArthur River Mine (MRM),Open-pit mine + Concentrator,Zinc; Lead,Australia,Northern Territory,AUS,-16.44,136.07,100,Active,Acquired via Xstrata 2013,https://www.glencore.com.au/operations-and-projects/mcarthur-river-mine
Mount Isa Mines (Zinc-Lead operations),Underground mine + Smelter,Zinc; Lead,Australia,Queensland,AUS,-20.72,139.49,100,Active,Acquired via Xstrata 2013,https://www.glencore.com.au/operations-and-projects/mim
George Fisher Mine,Underground mine,Zinc; Lead,Australia,Queensland (Mount Isa),AUS,-20.52,139.50,100,Active,Acquired via Xstrata 2013,https://www.glencore.com.au/operations-and-projects/mim
Lady Loretta Mine,Underground mine,Zinc; Lead,Australia,Queensland,AUS,-20.80,139.46,100,Active,Acquired via Xstrata 2013,https://www.glencore.com.au/operations-and-projects/mim
Kazzinc (Ust-Kamenogorsk),Mine + Smelter (zinc + lead + copper + gold),Zinc; Lead; Copper; Gold,Kazakhstan,East Kazakhstan,KAZ,49.95,82.61,69.61,Active,Acquired 2008,https://www.glencore.com/what-we-do/metals-and-minerals/zinc
Sinchi Wayra / Illapa,Underground mines + Concentrator,Zinc; Lead; Tin; Silver,Bolivia,Potosí,BOL,-19.58,-65.75,100,Active,Acquired 2005,https://www.glencore.com/what-we-do/metals-and-minerals/zinc
Los Quenuales (Iscaycruz + Yauliyacu),Underground mines + Concentrator,Zinc; Lead; Silver,Peru,Lima,PER,-10.60,-76.70,97,Active,Acquired 1996,https://www.glencore.com/what-we-do/metals-and-minerals/zinc
Asturiana de Zinc (San Juan de Nieva),Electrolytic zinc refinery,Zinc,Spain,Asturias,ESP,43.55,-6.02,100,Active,Acquired 2001,https://www.glencore.com/what-we-do/metals-and-minerals/zinc
Nordenham Zinc Smelter,Smelter,Zinc,Germany,Lower Saxony (Wesermarsch),DEU,53.48,8.48,100,Active,Acquired via Xstrata 2013,https://www.glencore.com/what-we-do/metals-and-minerals/zinc
Portovesme Smelter,Smelter,Zinc; Lead,Italy,Sardinia (Sulcis),ITA,39.19,8.38,100,Care & Maintenance,C&M from 2023,https://www.glencore.com/what-we-do/metals-and-minerals/zinc
Northfleet Refinery (Britannia Refined Metals),Lead refinery,Lead,United Kingdom,Kent,GBR,51.45,0.33,100,Active,Acquired via Xstrata 2013,https://www.glencore.com/what-we-do/metals-and-minerals/zinc
Rhovan,Mine + Smelter,Ferrovanadium,South Africa,North West Province,ZAF,-25.56,27.31,100,Active,Acquired via Xstrata 2013,https://www.glencore.com/what-we-do/metals-and-minerals/ferroalloys
Glencore-Merafe Chrome Venture (Lion Smelter),Ferrochrome smelter,Ferrochrome,South Africa,Limpopo (Steelpoort),ZAF,-24.67,30.16,79.5,Active (JV with Merafe),JV established 2004,https://www.glencore.com/what-we-do/metals-and-minerals/ferroalloys
Glencore-Merafe (Wonderkop Smelter),Ferrochrome smelter,Ferrochrome,South Africa,North West Province (Marikana),ZAF,-25.69,27.46,79.5,Active,JV established 2004,https://www.glencore.com/what-we-do/metals-and-minerals/ferroalloys
Glencore-Merafe (Boshoek Smelter),Ferrochrome smelter,Ferrochrome,South Africa,North West Province,ZAF,-25.59,27.16,79.5,Active,JV established 2004,https://www.glencore.com/what-we-do/metals-and-minerals/ferroalloys
Glencore-Merafe (Rustenburg Smelter),Ferrochrome smelter,Ferrochrome,South Africa,North West Province,ZAF,-25.66,27.24,79.5,Active,JV established 2004,https://www.glencore.com/what-we-do/metals-and-minerals/ferroalloys
Hunter Valley Operations (HVO),Open-cut mine,Coal (thermal + semi-soft coking),Australia,New South Wales (Hunter Valley),AUS,-32.30,151.06,49,Active (49% JV with Yancoal),JV stake,https://www.glencore.com.au/operations-and-projects/coal
Mount Owen Complex,Open-cut mine complex,Coal,Australia,New South Wales,AUS,-32.45,151.18,100,Active,Acquired via Xstrata 2013,https://www.glencore.com.au/operations-and-projects/coal
Glendell,Open-cut mine,Coal,Australia,New South Wales (Hunter Valley),AUS,-32.45,151.18,100,Active,Within Mt Owen Complex,https://www.glencore.com.au/operations-and-projects/coal
